Designator,Mid X,Mid Y,Rotation,Layer
"Q1",23.662500,47.700000,180.000000,bottom
"Q2",46.162500,33.150000,0.000000,bottom
"Q3",46.162500,36.650000,0.000000,bottom
"Q4",46.150000,42.500000,0.000000,bottom
"Q5",46.150000,49.500000,0.000000,bottom
"Q6",23.662500,51.200000,180.000000,bottom
"Q7",46.150000,29.650000,0.000000,bottom
"Q8",23.662500,54.700000,180.000000,bottom
"Q9",46.150000,46.000000,0.000000,bottom
"R4",20.900000,48.550000,-90.000000,bottom
"R5",43.350000,33.150000,90.000000,bottom
"R6",48.950000,33.975000,-90.000000,bottom
"R7",43.350000,36.625000,90.000000,bottom
"R8",48.950000,37.475000,-90.000000,bottom
"R9",43.350000,42.525000,90.000000,bottom
"R10",48.950000,43.325000,-90.000000,bottom
"R11",43.350000,49.500000,90.000000,bottom
"R12",48.950000,50.325000,-90.000000,bottom
"R13",26.500000,51.200000,-90.000000,bottom
"R14",20.875000,52.125000,-90.000000,bottom
"R15",43.350000,29.650000,90.000000,bottom
"R16",48.950000,28.825000,90.000000,bottom
"R17",26.500000,54.700000,-90.000000,bottom
"R18",20.900000,55.700000,-90.000000,bottom
"R19",43.350000,45.975000,90.000000,bottom
"R20",48.950000,46.800000,-90.000000,bottom
"U2",44.324943,19.325000,180.000000,bottom
